Date;rr
03/02/2019;28.7992
04/02/2019;48.2212
05/02/2019;45.4725
06/02/2019;5.6512
07/02/2019;33.6484
08/02/2019;30.6197
09/02/2019;30.3405
10/02/2019;18.1983
11/02/2019;18.5798
12/02/2019;33.9787
13/02/2019;21.771
14/02/2019;0.4316
15/02/2019;1.8664
16/02/2019;7.4164
17/02/2019;15.9698
18/02/2019;23.6421
19/02/2019;0.6587
20/02/2019;47.164
21/02/2019;27.5636
22/02/2019;10.4646
23/02/2019;0.225
24/02/2019;11.1136
25/02/2019;8.7525
26/02/2019;0
27/02/2019;0.0846
28/02/2019;1.1222
01/03/2019;22.166
02/03/2019;21.0045
03/03/2019;41.2491
04/03/2019;0.3643
05/03/2019;31.4394
06/03/2019;43.5285
07/03/2019;16.9836
08/03/2019;12.1902
09/03/2019;8.0509
10/03/2019;13.4036
11/03/2019;22.5813
12/03/2019;9.7058
13/03/2019;29.3578
14/03/2019;2.2276
15/03/2019;0.0017
16/03/2019;0
17/03/2019;1.4056
18/03/2019;0
19/03/2019;0.0992
20/03/2019;0.1778
21/03/2019;11.6241
22/03/2019;4.3172
23/03/2019;3.4812
24/03/2019;25.6179
25/03/2019;2.6009
26/03/2019;6.5628
27/03/2019;6.0787
28/03/2019;38.7923
29/03/2019;54.4235
30/03/2019;1.6794
31/03/2019;13.6078
01/04/2019;5.5589
02/04/2019;7.5595
03/04/2019;2.0518
04/04/2019;0.2907
05/04/2019;10.0309
06/04/2019;13.5863
07/04/2019;7.169
08/04/2019;15.8455
09/04/2019;2.8016
10/04/2019;7.7132
11/04/2019;10.6976
12/04/2019;24.8524
13/04/2019;44.1088
14/04/2019;27.0718
15/04/2019;19.5739
16/04/2019;19.9704
17/04/2019;21.9727
18/04/2019;3.3223
19/04/2019;1.0405
20/04/2019;15.6476
21/04/2019;4.8806
22/04/2019;1.4586
23/04/2019;0.3351
24/04/2019;2.0355
25/04/2019;5.6769
26/04/2019;24.1535
27/04/2019;18.2565
28/04/2019;81.6107
29/04/2019;47.2806
30/04/2019;16.3692
01/05/2019;0
02/05/2019;1.6462
03/05/2019;3.5734
04/05/2019;18.9307
05/05/2019;1.533
06/05/2019;6.8633
07/05/2019;0.0053
08/05/2019;0.0667
09/05/2019;2.912
10/05/2019;3.1801
11/05/2019;10.0391
12/05/2019;4.4612
13/05/2019;2.7733
14/05/2019;8.4324
15/05/2019;0.1173
16/05/2019;0.7369
17/05/2019;3.809
18/05/2019;1.7625
19/05/2019;0.0582
20/05/2019;0.6057
21/05/2019;1.9648
22/05/2019;3.8646
23/05/2019;5.00E-04
24/05/2019;1.9383
25/05/2019;1.1873
26/05/2019;31.7325
27/05/2019;11.5966
28/05/2019;6.4887
29/05/2019;0.1299
30/05/2019;2.4006
31/05/2019;0.3021
01/06/2019;2.3257
02/06/2019;0.9558
03/06/2019;1.5229
04/06/2019;2.4166
05/06/2019;0.7395
06/06/2019;0.0343
07/06/2019;1.8296
08/06/2019;3.3957
09/06/2019;11.0916
10/06/2019;1.7394
11/06/2019;3.7512
12/06/2019;33.9412
13/06/2019;6.7583
14/06/2019;2.995
15/06/2019;0.3751
16/06/2019;0.0591
17/06/2019;4.6168
18/06/2019;1.2864
19/06/2019;2.7938
20/06/2019;3.9028
21/06/2019;0.2662
22/06/2019;4.2759
23/06/2019;0.0595
24/06/2019;0.0092
25/06/2019;0.0248
26/06/2019;0.0128
27/06/2019;0
28/06/2019;0.2884
29/06/2019;0
30/06/2019;0.0505
01/07/2019;14.0862
02/07/2019;6.2703
03/07/2019;1.758
04/07/2019;21.6884
05/07/2019;0.0017
06/07/2019;0
07/07/2019;0
08/07/2019;0
09/07/2019;2.8499
10/07/2019;0.049
11/07/2019;0.0572
12/07/2019;0.0043
13/07/2019;0.0012
14/07/2019;0.0046
15/07/2019;0
16/07/2019;0.0028
17/07/2019;0.5997
18/07/2019;1.5663
19/07/2019;0.4469
20/07/2019;0.0086
21/07/2019;0
22/07/2019;0.0011
23/07/2019;0
24/07/2019;0.0053
25/07/2019;0
26/07/2019;0
27/07/2019;0.1322
28/07/2019;0
29/07/2019;0.0126
30/07/2019;0.0718
31/07/2019;0.0368
01/08/2019;0.0032
02/08/2019;0.0072
03/08/2019;0
04/08/2019;0
05/08/2019;0
06/08/2019;0
07/08/2019;0.0213
08/08/2019;0.0328
09/08/2019;0
10/08/2019;0
11/08/2019;0
12/08/2019;0.3979
13/08/2019;3.1769
14/08/2019;0.0118
15/08/2019;0.0013
16/08/2019;0.0054
17/08/2019;0.0041
18/08/2019;1.3403
19/08/2019;3.9635
20/08/2019;1.9877
21/08/2019;0
22/08/2019;0
23/08/2019;0
24/08/2019;0.0347
25/08/2019;0.0998
26/08/2019;0.312
27/08/2019;0.8053
28/08/2019;0
29/08/2019;0
30/08/2019;0
31/08/2019;0
01/09/2019;0.0209
02/09/2019;0.0088
03/09/2019;0
04/09/2019;0.0011
05/09/2019;0.0321
06/09/2019;1.0313
07/09/2019;0.3921
08/09/2019;0
09/09/2019;0
10/09/2019;0
11/09/2019;0
12/09/2019;0
13/09/2019;0
14/09/2019;0
15/09/2019;0
16/09/2019;0
17/09/2019;0
18/09/2019;0
19/09/2019;0.0046
20/09/2019;0
21/09/2019;0.2271
22/09/2019;0.0296
23/09/2019;0.0375
24/09/2019;0
25/09/2019;1.1738
26/09/2019;0.9869
27/09/2019;0.6009
28/09/2019;1.6847
29/09/2019;0.471
30/09/2019;1.3615
01/10/2019;0.158
02/10/2019;4.2939
03/10/2019;6.5006
04/10/2019;0
05/10/2019;3.8994
06/10/2019;1.3323
07/10/2019;0.0013
08/10/2019;0.0536
09/10/2019;0.2247
10/10/2019;0.0148
11/10/2019;0.4108
12/10/2019;1.3045
13/10/2019;31.4795
14/10/2019;1.0678
15/10/2019;10.9164
16/10/2019;3.1159
17/10/2019;0.0522
18/10/2019;0
19/10/2019;0.0023
20/10/2019;0.9638
21/10/2019;0
22/10/2019;0
23/10/2019;0
24/10/2019;0.0335
25/10/2019;4.8225
26/10/2019;5.4772
27/10/2019;0.1443
28/10/2019;0
29/10/2019;0.0315
30/10/2019;1.5088
31/10/2019;16.0605
01/11/2019;1.2895
02/11/2019;1.6576
03/11/2019;2.1173
04/11/2019;0.0037
05/11/2019;0.0679
06/11/2019;0
07/11/2019;0.1846
08/11/2019;0
09/11/2019;1.3055
10/11/2019;6.7268
11/11/2019;21.0155
12/11/2019;6.5914
13/11/2019;0.2642
14/11/2019;0
15/11/2019;0
16/11/2019;0
17/11/2019;0.2114
18/11/2019;0.3123
19/11/2019;0.6897
20/11/2019;0.0208
21/11/2019;0.1375
22/11/2019;0.1225
23/11/2019;0.1244
24/11/2019;0.058
25/11/2019;0.0124
26/11/2019;0.7083
27/11/2019;1.2087
28/11/2019;0.5968
29/11/2019;0
30/11/2019;0
01/12/2019;0
02/12/2019;0
03/12/2019;0.2334
04/12/2019;0.0508
05/12/2019;0.195
06/12/2019;0.1946
07/12/2019;0.3809
08/12/2019;0.1111
09/12/2019;0.1248
10/12/2019;1.2158
11/12/2019;1.8259
12/12/2019;3.0199
13/12/2019;15.9267
14/12/2019;6.8357
15/12/2019;4.0732
16/12/2019;3.5266
17/12/2019;1.5861
18/12/2019;0.5984
19/12/2019;3.4635
20/12/2019;0.4996
21/12/2019;16.0708
22/12/2019;3.3796
23/12/2019;1.2376
24/12/2019;4.7031
25/12/2019;23.4887
26/12/2019;5.2281
27/12/2019;0.8332
28/12/2019;1.7848
29/12/2019;19.348
30/12/2019;4.9133
31/12/2019;6.1564
01/01/2020;6.2535
02/01/2020;10.4168
03/01/2020;10.9734
04/01/2020;15.3969
05/01/2020;28.1501
06/01/2020;0.2663
07/01/2020;23.5842
08/01/2020;18.6214
09/01/2020;1.6685
10/01/2020;28.5591
11/01/2020;48.2535
12/01/2020;13.3581
13/01/2020;0.1359
14/01/2020;4.6765
15/01/2020;0.0071
16/01/2020;0.937
17/01/2020;18.9659
18/01/2020;10.235
19/01/2020;10.1401
20/01/2020;0.138
21/01/2020;2.4968
22/01/2020;1.5124
23/01/2020;0.5796
24/01/2020;1.5462
25/01/2020;1.6927
26/01/2020;4.3427
27/01/2020;0.4079
28/01/2020;2.0331
29/01/2020;9.464
30/01/2020;14.6087
31/01/2020;36.8088
01/02/2020;0.9613
02/02/2020;1.4869
03/02/2020;1.4894
04/02/2020;5.8284
05/02/2020;13.8327
06/02/2020;14.2991
07/02/2020;10.0152
08/02/2020;8.7924
09/02/2020;22.432
10/02/2020;10.4665
11/02/2020;4.6274
12/02/2020;2.4023
13/02/2020;10.5298
14/02/2020;5.1379
15/02/2020;7.4221
16/02/2020;15.4695
17/02/2020;54.4236
18/02/2020;25.0974
19/02/2020;8.7851
20/02/2020;37.961
21/02/2020;54.3937
22/02/2020;4.6631
23/02/2020;2.5949
24/02/2020;9.1136
25/02/2020;6.7438
26/02/2020;20.8384
27/02/2020;30.4519
28/02/2020;0.6271
29/02/2020;20.727
01/03/2020;32.0965
02/03/2020;27.1194
